Username,Date,ClockInTime,ClockOutTime,TotalHoursWorked,Notes
nur.azizah,2023-01-02,08:36:00,17:00:00,8.92,
nur.azizah,2023-01-03,08:30:00,17:00:00,9.00,
nur.azizah,2023-01-04,09:10:00,17:00:00,8.83,
nur.azizah,2023-01-05,08:00:00,17:00:00,9.00,Late
nur.azizah,2023-01-06,09:15:00,17:00:00,8.75,
nur.azizah,2023-01-09,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-10,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-11,09:05:00,17:00:00,8.92,Late
nur.azizah,2023-01-12,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-13,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-16,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-17,09:10:00,17:00:00,8.83,Late
nur.azizah,2023-01-18,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-19,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-20,09:05:00,17:00:00,8.92,Late
nur.azizah,2023-01-23,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-24,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-25,09:00:00,17:00:00,9.00,
nur.azizah,2023-01-26,09:05:00,17:00:00,8.92,Late
nur.azizah,2023-01-27,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-01,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-02,09:10:00,17:00:00,8.83,
nur.azizah,2023-02-03,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-06,09:05:00,17:00:00,8.92,
nur.azizah,2023-02-07,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-08,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-09,09:05:00,17:00:00,8.92,Late
nur.azizah,2023-02-10,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-13,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-14,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-15,09:05:00,17:00:00,8.92,Late
nur.azizah,2023-02-16,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-17,09:00:00,17:00:00,9.00,
nur.azizah,2023-02-20,08:00:00,17:00:00,9.00,
nur.azizah,2023-02-21,08:10:00,17:00:00,8.83,
nur.azizah,2023-02-22,08:00:00,17:00:00,9.00,
nur.azizah,2023-02-23,08:00:00,17:00:00,9.00,
nur.azizah,2023-02-24,08:05:00,17:00:00,8.92,
nur.azizah,2023-02-27,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-01,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-02,08:05:00,17:00:00,8.92,
nur.azizah,2023-03-03,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-06,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-07,08:10:00,17:00:00,8.83,
nur.azizah,2023-03-08,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-09,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-10,08:05:00,17:00:00,8.92,Late
nur.azizah,2023-03-13,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-14,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-15,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-16,08:05:00,17:00:00,8.92,Late
nur.azizah,2023-03-17,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-20,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-21,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-22,08:10:00,17:00:00,8.83,
nur.azizah,2023-03-23,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-24,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-27,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-28,08:05:00,17:00:00,8.92,
nur.azizah,2023-03-29,08:00:00,17:00:00,9.00,
nur.azizah,2023-03-30,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-01,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-03,08:05:00,17:00:00,8.92,
nur.azizah,2023-04-04,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-05,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-06,08:05:00,17:00:00,8.92,Late
nur.azizah,2023-04-07,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-10,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-11,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-12,08:05:00,17:00:00,8.92,
nur.azizah,2023-04-13,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-14,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-17,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-18,08:10:00,17:00:00,8.83,
nur.azizah,2023-04-19,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-20,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-21,08:05:00,17:00:00,8.92,Late
nur.azizah,2023-04-24,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-25,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-26,08:05:00,17:00:00,8.92,
nur.azizah,2023-04-27,08:00:00,17:00:00,9.00,
nur.azizah,2023-04-28,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-01,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-02,08:05:00,17:00:00,8.92,
nur.azizah,2023-05-03,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-04,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-05,08:05:00,17:00:00,8.92,
nur.azizah,2023-05-08,08:00:00,17:00:00,9.00,Late
nur.azizah,2023-05-09,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-10,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-11,08:10:00,17:00:00,8.83,
nur.azizah,2023-05-12,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-15,08:05:00,17:00:00,8.92,
nur.azizah,2023-05-16,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-17,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-18,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-19,08:05:00,17:00:00,8.92,
nur.azizah,2023-05-22,08:00:00,17:00:00,9.00,Late
nur.azizah,2023-05-23,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-24,08:00:00,17:00:00,9.00,Annual Leave
nur.azizah,2023-05-25,08:05:00,17:00:00,8.92,Annual Leave
nur.azizah,2023-05-26,08:00:00,17:00:00,9.00,Annual Leave
nur.azizah,2023-05-29,08:00:00,17:00:00,9.00,
nur.azizah,2023-05-30,08:05:00,17:00:00,8.92,
nur.azizah,2023-05-31,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-01,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-02,08:05:00,17:00:00,8.92,
nur.azizah,2023-06-03,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-04,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-05,08:05:00,17:00:00,8.92,
nur.azizah,2023-06-06,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-07,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-08,08:10:00,17:00:00,8.83,
nur.azizah,2023-06-09,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-10,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-11,08:05:00,17:00:00,8.92,
nur.azizah,2023-06-12,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-13,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-14,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-15,08:05:00,17:00:00,8.92,
nur.azizah,2023-06-16,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-17,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-19,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-20,08:05:00,17:00:00,8.92,Medical Leave
nur.azizah,2023-06-21,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-22,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-23,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-26,08:05:00,17:00:00,8.92,
nur.azizah,2023-06-27,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-28,08:00:00,17:00:00,9.00,
nur.azizah,2023-06-29,08:05:00,17:00:00,8.92,
nur.azizah,2023-06-30,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-01,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-03,08:05:00,17:00:00,8.92,
nur.azizah,2023-07-04,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-05,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-06,08:10:00,17:00:00,8.83,
nur.azizah,2023-07-07,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-10,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-11,08:05:00,17:00:00,8.92,
nur.azizah,2023-07-12,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-13,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-14,08:05:00,17:00:00,8.92,
nur.azizah,2023-07-17,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-18,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-19,08:05:00,17:00:00,8.92,
nur.azizah,2023-07-20,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-21,08:00:00,17:00:00,9.00,
nur.azizah,2023-07-24,08:05:00,17:00:00,8.92,
